Numero Ocorrencia,Data,,,Hora,Uf,,Br,Km,Latitude,Longitude,Natureza Enquadramento,,,Municipio,Envolvimento,Qtd Assalto a Caminhão,Qtde Envolvido,Qtde Veiculo
C1317957170428021100,27/4/2017,"Quinta-feira, 27 de Abril de 2017",2017-04-27,21,PE,PERNAMBUCO,101 ,2,-7.516199,-34.991399,461,ROUBO A CAMINHÃO,ROUBO,GOIANA,Vítima,1,1,1
C1322721170529044500,28/5/2017,"Domingo, 28 de Maio de 2017",2017-05-28,5,GO,GOIÁS,153 ,159,-14.158999,-49.122199,461,ROUBO A CAMINHÃO,ROUBO,URUACU,Vítima,1,2,1
C1370549170504065700,4/5/2017,"Quinta-feira, 4 de Maio de 2017",2017-05-04,6,PE,PERNAMBUCO,116 ,72,-8.459399,-39.193699,461,ROUBO A CAMINHÃO,ROUBO,CABROBO,Vítima,1,1,1
C1370549170504215500,4/5/2017,"Quinta-feira, 4 de Maio de 2017",2017-05-04,21,PE,PERNAMBUCO,316 ,247,-8.628099,-39.068699,461,ROUBO A CAMINHÃO,ROUBO,BELEM DE SAO FRANCISCO,Vítima,1,1,1
C1370549170528181000,28/5/2017,"Domingo, 28 de Maio de 2017",2017-05-28,17,PE,PERNAMBUCO,316 ,256,-8.664799,-38.996099,461,ROUBO A CAMINHÃO,ROUBO,BELEM DE SAO FRANCISCO,Vítima,1,1,1
C1370783170210220000,10/2/2017,"Sexta-feira, 10 de Fevereiro de 2017",2017-02-10,21,GO,GOIÁS,020 ,3,-15.567899,-47.320899,461,ROUBO A CAMINHÃO,ROUBO,FORMOSA,Vítima,1,1,0
C1370881170219073500,18/2/2017,"Sábado, 18 de Fevereiro de 2017",2017-02-18,3,MG,MINAS GERAIS,135 ,582,-18.420299,-44.457699,461,ROUBO A CAMINHÃO,ROUBO,CORINTO,Vítima,1,2,1
C1371150170216180000,16/2/2017,"Quinta-feira, 16 de Fevereiro de 2017",2017-02-16,15,RJ,RIO DE JANEIRO,116 ,108,-22.561899,-42.997699,461,ROUBO A CAMINHÃO,ROUBO,GUAPIMIRIM,Vítima,1,1,1
C1371193170325000600,25/3/2017,"Sábado, 25 de Março de 2017",2017-03-25,0,RJ,RIO DE JANEIRO,393 ,158,-22.099799,-43.093099,461,ROUBO A CAMINHÃO,ROUBO,TRES RIOS,Vítima,1,1,1
C1371204170406110600,2/4/2017,"Domingo, 2 de Abril de 2017",2017-04-02,8,SP,SÃO PAULO,381 ,52,-23.229699,-46.599099,461,ROUBO A CAMINHÃO,ROUBO,ATIBAIA,Vítima,1,2,1
C1371720170517090100,17/5/2017,"Quarta-feira, 17 de Maio de 2017",2017-05-17,7,GO,GOIÁS,060 ,93,-16.353799,-48.926799,461,ROUBO A CAMINHÃO,ROUBO,ANAPOLIS,Vítima,1,1,1
C1371880170326173100,26/3/2017,"Domingo, 26 de Março de 2017",2017-03-26,17,BA,BAHIA,116 ,932,-15.688099,-41.327099,461,ROUBO A CAMINHÃO,ROUBO,ENCRUZILHADA,Autor,1,1,2
C1371880170326173100,26/3/2017,"Domingo, 26 de Março de 2017",2017-03-26,17,BA,BAHIA,116 ,932,-15.688099,-41.327099,461,ROUBO A CAMINHÃO,ROUBO,ENCRUZILHADA,Coautor,1,1,2
C1371880170326173100,26/3/2017,"Domingo, 26 de Março de 2017",2017-03-26,17,BA,BAHIA,116 ,932,-15.688099,-41.327099,461,ROUBO A CAMINHÃO,ROUBO,ENCRUZILHADA,Testemunha,1,1,2
C1371880170326173100,26/3/2017,"Domingo, 26 de Março de 2017",2017-03-26,17,BA,BAHIA,116 ,932,-15.688099,-41.327099,461,ROUBO A CAMINHÃO,ROUBO,ENCRUZILHADA,Vítima,1,1,2
C1371880170521121300,21/5/2017,"Domingo, 21 de Maio de 2017",2017-05-21,12,MG,MINAS GERAIS,251 ,205,-15.860199,-41.488999,461,ROUBO A CAMINHÃO,ROUBO,CACHOEIRA DE PAJEU,Vítima,1,1,1
C1393641170429212600,29/4/2017,"Sábado, 29 de Abril de 2017",2017-04-29,21,PB,PARAÍBA,101 ,77,-7.092099,-34.968399,461,ROUBO A CAMINHÃO,ROUBO,SANTA RITA,Vítima,1,1,1
